2026-02-08 09:13:13,10.0,Parking fee for VIP9999
2026-02-08 09:14:08,0.0,Parking fee for ABC1289
2026-02-09 11:06:06,110.0,Parking fee for GOLD1
2026-02-09 11:14:13,2.0,Parking fee for NDE1203
2026-02-09 11:32:23,5.0,Parking fee for QWE0976
2026-02-09 11:35:43,110.0,Parking fee for VEV1234
2026-02-09 15:26:01,360.0,Parking fee for ABC1234
2026-02-09 15:38:15,155.0,Parking fee for SUV1112
2026-02-09 16:26:37,320.0,Parking fee for XYZ5678
2026-02-09 19:07:34,100.0,Parking fee for SUV9999
2026-02-09 20:16:14,120.0,Parking fee for B112
2026-02-09 20:16:49,175.0,Parking fee for SUV1110
2026-02-10 11:26:22,300.0,Parking fee for SB250
2026-02-10 11:28:16,0.0,Parking fee for HCP2222
2026-02-10 11:38:06,1200.0,Parking fee for CAT128
2026-02-10 13:48:37,236.0,Parking fee for HCP3333
